RTweet_Fvrt,Life_time(days)
7804,0.5979398148
7627,0.2970717593
7800,0.5970949074
7625,0.2970717593
7798,0.5970949074
7620,0.2958564815
7618,0.295787037
7613,0.2948842593
7610,0.2943055556
7608,0.2941782407
7605,0.2937731481
7603,0.2936342593
7600,0.2926273148
7598,0.2925810185
7595,0.2925
7586,0.2908564815
7584,0.2906944444
7580,0.2904166667
7577,0.2901041667
7574,0.2897453704
7572,0.2895486111
7566,0.2882523148
7564,0.2881597222
7562,0.2881597222
7558,0.2864699074
7554,0.2860300926
7550,0.2857060185
7546,0.2843171296
7542,0.2812384259
7537,0.2807523148
7535,0.2805439815
7710,0.5279282407
7708,0.5269444444
7531,0.2798148148
7705,0.5265046296
7529,0.2798148148
7526,0.2794907407
7523,0.2787037037
7701,0.5254282407
7520,0.2784722222
7699,0.5252546296
7518,0.2772337963
7693,0.5186226852
7513,0.2770138889
7691,0.5171064815
7511,0.275787037
7689,0.5169791667
7507,0.275462963
7501,0.2748842593
7501,0.2746990741
7498,0.2740740741
7495,0.2735532407
7489,0.2718287037
7487,0.2704976852
7479,0.2677314815
7472,0.2669097222
7472,0.2666666667
7470,0.2663310185
7453,0.2633449074
7448,0.2620138889
7443,0.2614814815
7434,0.2599074074
7427,0.2593287037
7425,0.2593171296
7416,0.2577314815
7414,0.2575578704
7410,0.2568634259
7405,0.2560069444
7403,0.2560069444
7399,0.2556944444
7399,0.255462963
7397,0.2548726852
7394,0.2541898148
7393,0.2545833333
7393,0.2545023148
7389,0.2528819444
7386,0.2527546296
7380,0.2523263889
7373,0.2522222222
7369,0.2516435185
7366,0.2515740741
7365,0.2514814815
7362,0.2513541667
7359,0.2508564815
7357,0.250787037
7354,0.2507523148
7352,0.2506597222
7347,0.2500115741
7342,0.249375
7337,0.2491550926
7333,0.2486342593
7332,0.2484953704
7329,0.2484837963
7323,0.2480671296
7321,0.2477662037
7317,0.2474768519
7313,0.2474421296
7312,0.2473263889
7307,0.2471296296
7302,0.2466319444
7299,0.2465509259
7296,0.2462268519
7293,0.2461458333
7290,0.2459259259
7287,0.245775463
7284,0.2457060185
7283,0.245625
7280,0.245
7274,0.2443171296
7271,0.2439351852
7267,0.2431597222
7260,0.2422222222
7255,0.2419212963
7253,0.2418171296
7250,0.2412037037
7247,0.2403356481
7244,0.2402662037
7241,0.2399074074
7238,0.2395949074
7234,0.2388541667
7230,0.2383333333
7228,0.2381597222
7226,0.2375347222
7224,0.2374652778
7222,0.2372337963
7217,0.2368055556
7215,0.2366666667
7210,0.2361458333
7205,0.2359375
7202,0.2355208333
7199,0.2350694444
7192,0.2333101852
7190,0.233275463
7183,0.2321875
7166,0.230474537
7162,0.2294097222
7158,0.2292824074
7155,0.2291319444
7152,0.2288657407
7149,0.2288425926
7146,0.2287731481
7133,0.2274652778
7130,0.2268055556
7127,0.226712963
7121,0.2261342593
7118,0.2253819444
7116,0.2250115741
7113,0.2239351852
7104,0.2230902778
7098,0.2228009259
7096,0.222662037
7092,0.2226157407
7090,0.2225578704
7085,0.2211226852
7083,0.2209837963
7078,0.2208564815
7075,0.2206944444
7073,0.2204282407
7066,0.2198726852
7061,0.2196064815
7059,0.2194791667
7051,0.218912037
7047,0.2184722222
7045,0.218275463
7042,0.2180902778
7038,0.2175231481
7033,0.2171064815
7031,0.2170949074
7029,0.2170486111
7026,0.2167939815
7021,0.216087963
7017,0.2157986111
7015,0.2156712963
7009,0.2155555556
7008,0.215150463
6996,0.2146296296
6992,0.214375
6988,0.2141898148
6984,0.2140393519
6982,0.2139467593
6977,0.2131828704
6972,0.2127314815
6966,0.2119444444
6962,0.2117939815
6956,0.2111689815
6953,0.211087963
6951,0.2110532407
6940,0.2100694444
6938,0.2099421296
6936,0.2099189815
6927,0.2095833333
6919,0.2088657407
6909,0.2080208333
6904,0.2071527778
6895,0.2062268519
6892,0.206099537
6890,0.2055902778
6883,0.2046180556
6880,0.2045601852
6874,0.2043865741
6871,0.2043634259
6866,0.203900463
6862,0.2038657407
6859,0.2036689815
6854,0.2029861111
6849,0.2027777778
6842,0.2017592593
6840,0.2016550926
6836,0.2013888889
6831,0.2012847222
6830,0.2012268519
6821,0.2005439815
6819,0.2003125
6816,0.2001736111
6812,0.1999768519
6809,0.1999537037
6804,0.1997916667
6791,0.1980208333
6787,0.1978587963
6783,0.1972916667
6780,0.1970833333
6774,0.1966782407
6772,0.1966782407
6768,0.1964236111
6764,0.1963657407
6763,0.1962152778
6757,0.1960648148
6755,0.1958449074
6752,0.1957523148
6750,0.1957175926
6745,0.1954398148
6736,0.1942361111
6733,0.1941782407
6727,0.1934606481
6722,0.1933101852
6717,0.1925115741
6713,0.1924305556
6698,0.1911689815
6693,0.1903472222
6689,0.1899652778
6686,0.1899421296
6684,0.189837963
6679,0.1895486111
6678,0.1895138889
6672,0.1890740741
6668,0.1888657407
6665,0.1886921296
6661,0.1884375
6657,0.1879398148
6651,0.1878472222
6649,0.1876967593
5637,0.5154861111
6640,0.1870833333
5633,0.5146759259
6638,0.1870717593
5631,0.5143865741
6633,0.1868287037
5627,0.5141319444
6630,0.1865625
5622,0.512337963
6627,0.1863194444
5620,0.5122685185
6617,0.1857175926
5616,0.5105439815
6611,0.1853240741
5613,0.5105092593
5611,0.5102083333
6606,0.1851967593
5609,0.5101851852
6599,0.1837384259
5605,0.5098148148
6595,0.1834722222
5603,0.5096296296
6590,0.1832523148
5600,0.5091782407
6588,0.1832175926
5597,0.5086111111
6583,0.1828703704
5594,0.5085648148
6580,0.1826967593
5591,0.5081828704
6573,0.1824537037
5589,0.5079398148
6572,0.1824189815
5587,0.5074884259
6570,0.1824189815
5581,0.505150463
6567,0.1822106481
6564,0.1818981481
6554,0.1810300926
5569,0.5011458333
6553,0.1809259259
5564,0.4993981481
6546,0.1807638889
5559,0.4982638889
6542,0.1801851852
5556,0.4978125
6539,0.1800578704
5554,0.497662037
6532,0.1799074074
5551,0.4970023148
6530,0.1798032407
5549,0.4963194444
6528,0.1797685185
5546,0.4937615741
6524,0.1796643519
5541,0.4915046296
6521,0.1795833333
5539,0.490787037
6520,0.1795717593
5535,0.4902430556
6516,0.179375
5533,0.4893981481
6514,0.1793287037
5530,0.4875925926
6510,0.1792708333
5527,0.4844907407
6509,0.1792013889
5524,0.4834027778
6501,0.1782060185
5518,0.4784259259
5515,0.4759953704
6494,0.1770138889
5509,0.4736805556
6490,0.1768518519
5504,0.4725694444
6484,0.176087963
5501,0.472337963
6481,0.1760532407
5499,0.4716319444
6479,0.1756481481
6472,0.1753819444
5493,0.4688773148
6470,0.1753356481
5487,0.4533564815
6464,0.1747453704
5484,0.4523726852
6459,0.1745949074
5480,0.4471990741
6457,0.174537037
5474,0.4313194444
6451,0.1738773148
5467,0.4176157407
6447,0.1732291667
5464,0.4158333333
6445,0.1730555556
5461,0.4054282407
6441,0.1726273148
5459,0.4052199074
6439,0.1725231481
5456,0.4029282407
6436,0.1723726852
5454,0.4025578704
6433,0.1722222222
6431,0.1721875
5448,0.3997106481
6428,0.1719212963
5446,0.3989467593
6425,0.1716898148
6422,0.1714583333
5437,0.3817361111
6420,0.1713078704
5435,0.3794907407
6418,0.1712037037
5433,0.3793055556
6405,0.1699537037
5429,0.3784259259
5429,0.3755555556
5429,0.3752199074
6402,0.1695833333
5427,0.3747685185
6399,0.1694675926
5424,0.3745023148
5422,0.3732291667
6383,0.1678587963
5419,0.3705208333
6380,0.1675578704
5415,0.3676273148
6377,0.1673958333
5413,0.3664699074
6371,0.1669097222
5407,0.3584259259
6369,0.1665856481
5404,0.3572106481
6366,0.1664583333
5401,0.3555671296
6363,0.1664351852
5398,0.3549305556
6361,0.1663888889
5395,0.3539930556
6359,0.1658449074
6349,0.1649421296
5390,0.352974537
6345,0.1646527778
5388,0.3528587963
6343,0.1646064815
5385,0.3527662037
6342,0.1645717593
5382,0.3521064815
6337,0.1644907407
5380,0.3499305556
6334,0.1641666667
5376,0.3484490741
6328,0.1638773148
5371,0.344525463
6325,0.1638078704
5369,0.3395949074
6319,0.1631944444
5364,0.3361574074
6315,0.1630555556
5361,0.3354050926
6309,0.1624074074
5358,0.3332291667
6306,0.1623958333
5354,0.3287268519
6303,0.1622569444
5351,0.3277199074
6301,0.1621990741
5347,0.3268518519
6298,0.1619212963
5345,0.3263773148
5343,0.326099537
6287,0.1612962963
5337,0.3232638889
6285,0.16125
5335,0.3230671296
5332,0.3216203704
6279,0.1609027778
6270,0.1602777778
5327,0.3213541667
